search_time	search_id	listing_type	property_type	search_location	search_price_min	search_price_max	platform	user_id
2018-07-01 10:59:42	651	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 10:59:44	652	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 10:59:45	653	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 10:59:46	654	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 10:59:46	655	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 11:02:36	656	sale	hdb	dtdistrict03	700000		web	u1709
2018-07-01 11:02:41	657	rent	landed	dtdistrict20		4500	web	u92
2018-07-01 11:02:50	658	rent	landed	dtdistrict20		4500	web	u92
2018-07-01 11:02:53	659	room	hdb	dtdistrict14	500		web	u853
2018-07-01 11:03:01	660	sale	hdb	dtdistrict03	700000		web	u1709
2018-07-01 11:03:37	661	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 11:03:54	662	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 11:04:11	663	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 11:04:17	664	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 11:05:12	665	sale	hdb	dtdistrict16		400000	web	u320
2018-07-01 11:11:50	666	rent		dtdistrict14	1500		web	u764
2018-07-01 11:11:52	667	rent		dtdistrict14	1500	2000	web	u764
2018-07-01 11:11:55	668	rent		dtdistrict14	1500	2000	web	u764
2018-07-01 11:12:30	669	rent		dtdistrict14	1500	2000	web	u764
2018-07-01 11:12:50	670	rent		dtdistrict14	1500	2000	web	u764
2018-07-01 11:22:22	671	rent		dtdistrict22		1500	web	u1231
2018-07-01 11:23:25	672	rent		dtdistrict22		1500	web	u1231
2018-07-01 11:29:56	673	rent		dtdistrict23		1500	web	u1231
2018-07-01 11:31:59	674	sale		dtdistrict10,dtdistrict11	5000000		web	u1069
2018-07-01 11:32:22	675	sale	landed	dtdistrict10,dtdistrict11	5000000		web	u1069
2018-07-01 11:32:22	676	sale	landed	dtdistrict10,dtdistrict11	5000000		web	u1069
2018-07-01 11:32:26	677	sale	landed	dtdistrict10,dtdistrict11	5000000		web	u1069
2018-07-01 11:32:50	678	rent		dtdistrict22		1500	web	u1231
2018-07-01 11:32:57	679	sale	landed	dtdistrict10,dtdistrict11	5000000		web	u1069
2018-07-01 11:32:58	680	sale	landed	dtdistrict10,dtdistrict11	5000000		web	u1069
2018-07-01 11:33:32	681	sale	landed	dtdistrict10,dtdistrict11	5000000		web	u1069
2018-07-01 11:33:33	682	sale	landed	dtdistrict10,dtdistrict11	5000000		web	u1069
2018-07-01 11:34:12	683	sale	landed	dtdistrict10,dtdistrict11	5000000	5400000	web	u1069
2018-07-01 11:34:30	684	rent		dtdistrict22		1500	web	u1231
2018-07-01 11:34:45	685	sale	landed	dtdistrict10,dtdistrict11	5000000	5400000	web	u1069
2018-07-01 11:35:16	686	sale	landed	dtdistrict10,dtdistrict11	5000000	5400000	web	u1069
2018-07-01 11:35:24	687	sale	landed	dtdistrict10,dtdistrict11	5000000	5400000	web	u1069
2018-07-01 11:35:29	688	sale	landed	dtdistrict10,dtdistrict11	5000000	5400000	web	u1069
2018-07-01 11:47:43	689	rent	condo	dtdistrict14,dtdistrict15	1500	2000	web	u1681
2018-07-01 11:48:32	690	rent	condo	dtdistrict14,dtdistrict15	1500	2000	web	u1681
2018-07-01 11:49:44	691	rent	hdb	dtdistrict20		2000	web	u2272
2018-07-01 11:49:59	692	sale	landed	dtdistrict13,dtdistrict19	3000000		web	u283
2018-07-01 11:50:08	693	rent		dtdistrict05,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict21		1500	web	u1196
2018-07-01 11:50:14	694	rent	condo	dtdistrict05,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict21		1500	web	u1196
2018-07-01 11:50:21	695	rent	hdb	dtdistrict20		2000	web	u2272
2018-07-01 11:50:34	696	rent	condo	dtdistrict14,dtdistrict15	1500	2000	web	u1681
2018-07-01 11:50:56	697	rent	condo	dtdistrict05,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict21		1500	web	u1196
2018-07-01 11:51:12	698	rent	condo	dtdistrict05,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict21		2000	web	u1196
2018-07-01 11:51:42	699	sale	landed	dtdistrict13,dtdistrict19	3000000		web	u283
2018-07-01 11:52:36	700	rent	hdb	dtdistrict20		2000	web	u2272
2018-07-01 11:54:32	701	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 11:54:55	702	sale	landed	dtdistrict13,dtdistrict19	3000000		web	u283
2018-07-01 11:57:45	703	rent		dtdistrict15		2500	web	u656
2018-07-01 11:57:51	704	rent		dtdistrict15		2200	web	u656
2018-07-01 11:59:27	705	sale	landed	dtdistrict19	5100000		web	u283
2018-07-01 12:02:45	706	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:03:13	707	sale	landed	dtdistrict19		3400000	web	u283
2018-07-01 12:03:17	708	sale	landed	dtdistrict19		2000000	web	u283
2018-07-01 12:03:43	709	sale	landed	dtdistrict19		2000000	web	u283
2018-07-01 12:03:44	710	sale	landed	dtdistrict19		2000000	web	u283
2018-07-01 12:03:56	711	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:04:09	712	sale	landed	dtdistrict19		2200000	web	u283
2018-07-01 12:04:19	713	sale	landed	dtdistrict19		2400000	web	u283
2018-07-01 12:04:57	714	sale	landed	dtdistrict19		2500000	web	u283
2018-07-01 12:05:48	715	sale	landed	dtdistrict19		3100000	web	u283
